zone_id,ward_load_share,available_flex_mw,local_vulnerability_score
ward_01,0.035,55,0.58
ward_02,0.038,60,0.62
ward_03,0.041,75,0.67
ward_04,0.040,70,0.64
ward_05,0.039,65,0.61
ward_06,0.043,85,0.72
ward_07,0.044,90,0.74
ward_08,0.042,80,0.69
ward_09,0.045,95,0.76
ward_10,0.047,100,0.79
ward_11,0.046,90,0.73
ward_12,0.044,85,0.70
ward_13,0.043,80,0.68
ward_14,0.050,115,0.84
ward_15,0.048,105,0.81
ward_16,0.042,75,0.66
ward_17,0.041,70,0.64
ward_18,0.046,90,0.75
ward_19,0.052,120,0.88
ward_20,0.053,125,0.90
ward_21,0.039,65,0.63
ward_22,0.038,60,0.61
ward_23,0.037,60,0.60
ward_24,0.036,55,0.58
ward_25,0.034,50,0.55
