PM 20260530 NORMAL PREDISPATCH TOTALS;

RTEM_TOTALS;
\\CREATED AT 2026/05/30 13:08:42 FOR 2026/05/30
HOUR,INTERVAL,TOTAL ENERGY,TOTAL LOSS,TOTAL LOAD,TOTAL DISP LOAD SCHED OFF,TOTAL 10S,TOTAL 10N,TOTAL 30R
1,0,16760.9,373.1,16387.8,257.4,507.2,587.8,323
2,0,16474.9,368.4,16106.5,104.9,428.3,666.7,323
3,0,16354.5,353.8,16000.7,119.6,448,698.2,271.8
4,0,16123,337.8,15785.1,104.4,427.8,703.9,286.2
5,0,16167.1,333.3,15833.8,112.4,431.2,668.3,318.5
6,0,16321.3,342,15979.4,265.4,421.4,673.6,323
7,0,16183,354.7,15828.3,7,506.5,758,153.5
8,0,16741.8,396.4,16345.3,7,525.9,612.6,279.5
9,0,16685.3,384.1,16301.2,7.5,669.1,425.9,323
10,0,16692.8,388.7,16304.2,7.5,685.1,409.9,323
11,0,16270.8,365.9,15904.9,7.5,576.6,518.4,323
12,0,16127.2,365.5,15761.7,7.5,650.8,513.2,254
13,0,16037.9,369.2,15668.7,7.5,579.5,515.5,323
14,0,16178.3,363.2,15815.1,7.5,581.9,515.3,320.8
15,0,16349.1,378,15971.1,7.5,632.1,462.9,323
16,0,16625,390.8,16234.2,7.5,638.3,366.7,413
17,0,16986.7,386.8,16600,69.5,676.4,338.9,402.7
18,0,17042.1,392.2,16649.9,69.5,796,149,473
19,0,17362.4,374.4,16988,69.5,796,149,473
20,0,17328.2,368.8,16959.4,69.5,793.2,151.8,473
21,0,17261.9,366.6,16895.4,69.5,643.3,301.7,473
22,0,16904.6,360.2,16544.4,69.5,748.6,234,435.4
23,0,16422.6,358.3,16064.3,164,610.1,334.9,473
24,0,15869.8,369.9,15499.9,412,602.7,346.9,468.3
